a	A		sumti or		logical connective: sumti afterthought or
balvi		bav	future	'later'	x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former	[also sequel, succeed, successor, follow, come(s) after; time ordering only (use lidne otherwise); aorist in that x1 may overlap in time with x2 as long as it extends afterwards; non-aorist future (= cfabalvi); (default x2 is the space time reference, whereupon:) x1 will occur]; (cf. lidne, cabna, purci, farna)
bancu		bac	beyond		x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni)	[on the other side of a bound, but not necessarily directly 'across' nor at the shortest plausible distance (per ragve); also not limited to position in space]; (cf. dukse, ragve, zmadu, kuspe)
bandu		bad	defend		x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event)	[also secures (verb); x1 wards/resists x3; protective cover/shield (= badgai)]; (cf. ckape, fanta, fapro, marbi, rivbi, zunti, snura, binra, lunbe, pulji)
banfi			amphibian		x1 is an amphibian of species/breed x2	(cf. danlu, respa)
bangu		ban bau	language		x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote)	[also tongue]; (cf. tance, cusku, ve tavla, valsi, gerna, jufra, natmi, slaka)
banli		bal ba'i	great	'grand'	x1 is great/grand in property x2 (ka) by standard x3	[indicates a subjective greatness, as compared to the objective standard implied for barda; (synonyms, possibly requiring tanru:) extraordinary, illustrious, magnificent, impressive, awesome, grandiose, august, inspiring, special, majestic, distinguished, eminent, splendor, stately, imposing (all generally zabna); terrible (mabla)]; (cf. barda, nobli, se sinma, pluja, misno, vajni, fasnu, cizra, traji, mutce, se manci)
banro		ba'o	grow		x1 grows/expands [an increasing development] to size/into form x2 from x3	[also rising, developing; x1 gets bigger/enlarges/increases]; (cf. farvi, zenba, jmina, barda, makcu, ferti)
banxa		bax	bank		x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event)	(cf. sorcu, zarci, canja, kagni)
banzu		baz	suffice		x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3	(cf. dukse, claxu, nitcu, ricfu, curmi)
bapli		bap bai	force	'compel'	x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest	[also constrains; requires success, unlike the physics term (better expressed by danre)]; (cf. fanta, rinju, jimte, jitro, rinka, krinu, zukte, randa, danre, cmavo list bai, marxa, tinsa, xarnu)
bapu	PU*		will have been		time tense: will have been; (tense/modal)
barda		bra	big	'large'	x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3	(cf. banli, clani, ganra, condi, plana, cmalu, rotsu, banro, xanto)
bargu		bag	arch		x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3	[also arc; x2 need not be an object, but may be a point or volume]; (cf. cripu, kruvi, korcu, condi)
barja			bar		x1 is a tavern/bar/pub serving x2 to audience/patrons x3	(cf. gusta, birje, jikru, sanmi, vanju, xotli, ckafi, se pinxe)
barna		ba'a	mark		x1(s) is a/are mark(s)/spot(s) on x2 of material x3	[ba'armo'a for a pattern of marks]; (cf. sinxa, pixra, se ciska, se prina)
bartu		bar	out		x1 is on the outside of x2; x1 is exterior to x2	(cf. jibni, nenri, sruri, lamji, korbi, calku, vasru)
basna			emphasize	'accent'	x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3	[also: say forcefully] (cf. pandi)
basti		bas	replace	'substitute'	x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute	[also: x1 trades places with x2]; (cf. cmavo list ba'i, binra)
batci		bat	bite		x1 bites/pinches x2 on/at specific locus x3 with x4	[bite through (= ka'arbatci, batygre); pinch (= cinzybatci)]; (cf. denci, jgalu, guska, citka)
batke			button		x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4	(cf. jadni, balji, punji, jgari, lasna)
bau	BAI		in language		bangu modal, 1st place                            in language ...
bavmi			barley		x1 is a quantity of barley [grain] of species/strain x2	(cf. gurni)
baxso			Malay-Indonesian	'Bahasa'	x1 reflects Malay-Indonesian common language/culture in aspect x2	(cf. meljo, bindo)
be	BE		link sumti		sumti link to attach sumti (default x2) to a selbri; used in descriptions
be'a	FAhA1		north of		location tense relation/direction; north of
be'e	COI		request to send		vocative: request to send/speak
be'i	BAI		sent by		benji modal, 1st place (sender)                   sent by ...
be'o	BEhO		end linked sumti		elidable terminator: end linked sumti in specified description
be'u	UI5		lack		attitudinal modifier: lack/need - presence/satisfaction - satiation	(cf. claxu, nitcu, mansa)
be'ucu'i	UI*5		presence		attitudinal modifier: lack/need - presence/satisfaction - satiation
be'unai	UI*5		satiation		attitudinal modifier: lack/need - presence/satisfaction - satiation
bebna		beb	foolish	'boob'	x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob	(cf. fenki, xajmi, prije, fliba)
bei	BEI		link more sumti		separates multiple linked sumti within a selbri; used in descriptions
bemro		bem be'o	North American		x1 reflects North American culture/nationality/geography in aspect x2	(cf. merko, kadno, xispo, mexno)
bende		bed be'e	crew	'band'	x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4	(x1 is a mass; x2 is a set completely specified); [also orchestra (= zgibe'e, balzgibe'e), outfit; x3 conductor; business, not necessarily incorporated (= cajbe'e, venbe'e)]; (cf. gunma, girzu, dansu, jatna, jitro, kagni, kamni, minde, ralju, cecmu, gidva)
bengo		beg	Bengali		x1 reflects Bengali/Bangladesh culture/nationality/language in aspect x2	(cf. xindo)
benji		bej be'i	transfer	'send'	x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5	[also possibly "sharing"; no (complete) alienation from origin is implied]; [x5 carrier]; (cf. muvdu, dunda, mrilu, nirna, xruti, cradi, tivni, preja, cmavo list be'i, bevri, mrilu, tcana)
bersa		bes be'a	son		x1 is a son of mother/father/parents x2 [not necessarily biological]	[also filial]; (cf. verba, nanla, nakni, nanmu, patfu, mamta, bruna, rirni, rorci, panzi, tixnu)
berti		ber	north		x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3	(cf. snanu, stici, stuna, farna)
besna		ben	brain		x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control]	[also cerebral]; (cf. menli, stedu, rango, pensi)
betfu		bef be'u	abdomen	'belly'	x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection]	[also stomach (= djaruntyrango), digestive tract (= befctirango, befctirangyci'e)]; (cf. cutne, livga, canti)
betri		bet	tragedy	'tragic'	x1 is a tragedy/disaster/tragic for x2	(cf. badri, xlali, morsi, binra)
bevri		bev bei	carry	'bear'	x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter]	[alienation from x2 to x3 is implied]; (cf. marce, muvdu, benji, klama)
bi	PA1	biv	8		digit/number: 8 (digit) [eight]
bi'e	BIhE		hi priority operator		prefixed to a mex operator to indicate high priority
bi'i	BIhI	biz	unordered interval		non-logical interval connective: unordered between ... and ... (rafsi represents any interval)
bi'o	BIhI		ordered interval		non-logical interval connective: ordered from ... to ...
bi'u	UI3a		new information		discursive: newly introduced information - previously introduced information	(cf. nindatni, saurdatni)
bi'unai	UI*3		old information		discursive: newly introduced information - previously introduced information
bidju			bead		x1 is a bead/pebble [shape/form] of material x2	(cf. bolci, canre, lakse, dirgo)
bifce		bic	bee		x1 is a bee/wasp/hornet of species/breed x2	(cf. cinki, sfani, lakse)
bikla		bik	whip	'beat, lash'	x1 whips/lashes/snaps [a sudden violent motion]	(cf. skori, darxi)
bilga		big	obliged		x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2	[also x3 frame of reference]; (cf. zifre, fuzme)
bilma		bi'a	ill		x1 is ill/sick/diseased with symptoms x2 from disease x3	(cf. kanro, mikce, spita, senci, kafke, binra)
bilni		bil	military		x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3	[also paramilitary; soldier in its broadest sense - not limited to those trained/organized as part of an army to defend a state (= bilpre)]; (cf. jenmi for a military force, sonci, ganzu, pulji)
bindo		bid	Indonesian		x1 reflects Indonesian culture/nationality/language in aspect x2	(cf. bindo, meljo, baxso)
binra			insure		x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event)	[also x3 loss; sell/purchase insurance (= binryve'u), premium (= binrydi'a, or binryvelve'u)]; (cf. bandu, cirko, betri, basti, bilma)
binxo		bix bi'o	become		x1 becomes/changes/converts/transforms into x2 under conditions x3	[resultative, not-necessarily causal, change]; (cf. cenba for non-resultative, galfi for causal, stika for non-resultative, non-causal change; zasni)
birje			beer		x1 is made of/contains/is a amount of beer/ale/brew brewed from x2	(cf. pinxe, barja, jikru, vanju, xalka, fusra)
birka		bir	arm		x1 is a/the arm [body-part] of x2; [metaphor: branch with strength]	[also elbow (= bircidni), wrist (= xanterjo'e), appendage (but jimca, rebla preferred)]; (cf. jimca, janco, xance, rebla)
birti		bit	certain		x1 is certain/sure/positive/convinced that x2 is true	(cf. jetnu, jinvi, krici, djuno, senpi, sruma)
bisli		bis	ice		x1 is a quantity of/is made of/contains ice [frozen crystal] of composition/material x2	[composition including x2, which need not be a complete composition]; (cf. kunra, runme, lenku, krili, bratu, snime, carvi)
bitmu		bim bi'u	wall		x1 is a wall/fence separating x2 and x3 (unordered) of/in structure x4	(cf. jbini, sepli, fendi, canko, drudi, kumfa, loldi, senta, snuji, pagre, gacri, kuspe, marbi, vorme)
blabi		lab	white		x1 is white/very-light colored [color adjective]	[pale forms of other colors are a compound of white; e.g. pink (= labyxu'e, xunblabi) (whereas kandi is used for pale = dimness, lack of intensity)]; (cf. skari, xekri, grusi, kandi, manku, carmi, bakri, blanu, bunre, cicna, crino, narju, nukni, pelxu, xunre, zirpu)
blaci			glass		x1 is a quantity of/is made of/contains glass of composition including x2	(cf. kabri)
blanu		bla	blue		x1 is blue [color adjective]	(cf. skari, blabi, xekri, zirpu, kandi, carmi, cicna)
bliku		bli	block		x1 is a block [3-dimensional shape/form] of material x2, surfaces/sides x3	[x3 sides/surfaces should include number, size, and shape; also polyhedron (= pitybli having flat/planar sides/surfaces)], regular polyhedron (= kubybli, blikubli), brick (= kitybli); (cf. tapla, kubli, tanbo, canlu, kojna, sefta, bolci, kurfa, tarmi)
bloti		lot blo lo'i	boat		x1 is a boat/ship/vessel [vehicle] for carrying x2, propelled by x3	(cf. falnu, fulta, marce, jatna, sabnu)
bo	BO	bor	short scope link		short scope joiner; joins various constructs with shortest scope and right grouping
boi	BOI		end number or lerfu		elidable terminator: terminate numeral or letteral string
bolci		bol boi	ball		x1 is a ball/sphere/orb/globe [shape/form] of material x2; x1 is a spherical object [made of x2]	[also round]; (cf. bliku, cukla, bidju, gunro)
bongu		bog bo'u	bone		x1 is a/the bone/ivory [body-part], performing function x2 in body of x3; [metaphor: calcium]	[x2 is likely an abstract: may be structure/support for some body part, but others as well such as the eardrum bones; the former can be expressed as (tu'a le <body-part>); cartilage/gristle (= ranbo'u), skeleton (= bogygreku)]; (cf. greku, denci, jirna, sarji)
botpi		bot bo'i	bottle		x1 is a bottle/jar/urn/flask/closable container for x2, made of material x3 with lid x4	(cf. baktu, lante, patxu, tansi, tanxe, vasru, gacri)
boxfo		bof bo'o	sheet	'foil'	x1 is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material x2	(cf. plita, cinje, polje, slasi, tinci)
boxna		bon bo'a	wave		x1 is a wave [periodic pattern] in medium x2, wave-form x3, wave-length x4, frequency x5	(cf. slilu, dikni, cinje, polje, morna, canre)
bradi			enemy	'adversary'	x1 is an enemy/opponent/adversary/foe of x2 in struggle x3	(cf. damba, jamna, darlu, pendo, fapro, gunta, sarji, jivna, jinga)
bratu			hail		x1 is hail/sleet/freezing rain/solid precipitation of material/composition including x2	[this is the substance, not the act or manner of its falling, which is carvi]; (cf. carvi, snime, bisli, tcima)
brazo		raz	Brazilian		x1 reflects Brazilian culture/nationality/language in aspect x2	(cf. porto, ketco)
bredi		red bre	ready		x1 is ready/prepared for x2 (event)	(cf. spaji, jukpa)
bridi		bri	predicate		x1 (text) is a predicate relationship with relation x2 among arguments (sequence/set) x3	[also: x3 are related by relation x2 (= terbri for reordered places)]; (x3 is a set completely specified); (cf. sumti, fancu)
brife		bif bi'e	breeze		x1 is a breeze/wind/gale from direction x2 with speed x3; x1 blows from x2	(cf. tcima)
briju		bij	office	'bureau'	x1 is an office/bureau/work-place of worker x2 at location x3	(cf. jibri, gunka)
brito		rit	British		x1 reflects British/United Kingdom culture/nationality in aspect x2	(cf. glico, skoto, merko, ropno)
broda		rod	predicate var 1		1st assignable variable predicate (context determines place structure)	(cf. cmavo list bu'a)
brode		bo'e	predicate var 2		2nd assignable variable predicate (context determines place structure)
brodi			predicate var 3		3rd assignable variable predicate (context determines place structure)
brodo			predicate var 4		4th assignable variable predicate (context determines place structure)
brodu			predicate var 5		5th assignable variable predicate (context determines place structure)
bruna		bun bu'a	brother		x1 is brother of/fraternal to x2 by bond/tie/standard/parent(s) x3; [not necess. biological]	(cf. mensi, tunba, tamne, famti, bersa)
bu	BU	bus bu'i	word to lerfu		convert any single word to BY	(cf. cmavo list selma'o BY)
bu'a	GOhA	bul	some selbri 1		logically quantified predicate variable: some selbri 1	(cf. broda, etc.)
bu'e	GOhA		some selbri 2		logically quantified predicate variable: some selbri 2
bu'i	GOhA		some selbri 3		logically quantified predicate variable: some selbri 3
bu'o	UI7		start emotion		attitudinal contour: start emotion - continue emotion - end emotion
bu'ocu'i	UI*7		continue emotion		attitudinal contour: start emotion - continue emotion - end emotion
bu'onai	UI*7		end emotion		attitudinal contour: start emotion - continue emotion - end emotion
bu'u	FAhA3		coincident with		location tense relation/direction; coincident with/at the same place as; space equivalent of ca
budjo		buj bu'o	Buddhist		x1 pertains to the Buddhist culture/religion/ethos in aspect x2	(cf. latna, lijda)
bukpu		buk bu'u	cloth		x1 is an amount of cloth/fabric of type/material x2	(cf. mapni, matli, sunla, slasi, silka)
bumru		bum	fog		x1 is foggy/misty/covered by a fog/mist/vapor of liquid x2	(cf. djacu, carvi, danmo, lunsa, tcima, gapci)
bunda		bud	pound		x1 is x2 (def. 1) local weight unit(s) [non-metric], standard x3, subunits [e.g. ounces] x4	(additional subunit places may be added as x5, x6, ...); (cf. grake, junta, tilju, rupnu, fepni, dekpu, gutci, minli, merli, kramu)
bunre		bur bu'e	brown		x1 is brown/tan [color adjective]	(cf. skari, blabi, xekri, kandi, carmi)
burcu		bru	brush		x1 is a brush for purpose x2 (event) with bristles x3	(cf. komcu, pinsi)
burna			embarrassed		x1 is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions x2 (abstraction)	(cf. cinmo)
by	BY2		b		letteral for b
ca	PU		during		time tense relation/direction: is [selbri]; during/simultaneous with [sumti]; present tense
ca ma	PU*		when?		sumti question asking for a time/date/event; simultaneous with what?
ca'a	CAhA	caz	actually is		modal aspect: actuality/ongoing event	(cf. cabna, cmavo list ca)
ca'e	UI2		I define		evidential: I define	(cf. mitcu'a, mitsmu)
ca'i	BAI		by authority of		catni modal, 1st place                            by authority of ...
ca'o	ZAhO		continuative		interval event contour: during ...; continuative                                    |-----|
ca'u	FAhA2		in front of		location tense relation/direction; forwards/to the front of ...
caba'o	ZAhO*		has been		time tense: has been, is now in the aftermath of; (tense/modal)
cabna		cab	now		x1 is current at/in the present of/during/concurrent/simultaneous with x2 in time	[(default x2 is the present resulting in:) x1 is now; time relationship only, 'aorist' claiming simultaneity does not mean one event does not extend into the past or future of the other] (cf. zvati, balvi, purci, cmavo list ca, cmavo list ca'a)
cabra		ca'a	apparatus		x1 is apparatus/mechanism/device/equipment for function x2 controlled/[triggered] by x3 (agent)	[form determined by/from function; does not imply automated/automatic action - requires an external agent/trigger (a minji may be a zmiku cabra if it requires an external agent to trigger or control the functions that it performs automatically)]; (cf. tutci, minji, finti; girzu, ganzu for organizational apparatus, pilno)
caca'a	PU*		currently is		time tense: present actuality; modal aspect
caca'o	ZAhO*		is now		time tense: is now/simultaneously, is now in the middle of; (tense/modal)
cacra			hour		x1 is x2 hours in duration (default is 1 hour) by standard x3	(cf. junla, mentu, snidu, tcika, temci)
cadzu		dzu	walk		x1 walks/strides/paces on surface x2 using limbs x3	(cf. stapa, bajra, klama, litru)
cafne		caf	often		x1 (event) often/frequently/commonly/customarily occurs/recurs by standard x2	(cf. rirci, fadni, kampu, rapli, krefu, lakne, cmavo list piso'iroi and similar compounds)
cai	CAI		intense emotion		attitudinal: strong intensity attitude modifier
cajeba	PU*		during and after		time tense: during and after; (tense/modal)
cakla			chocolate		x1 is made of/contains/is a quantity of chocolate/cocoa	(cf. ckafi)
calku		cak	shell		x1 is a shell/husk [hard, protective covering] around x2 composed of x3	(cf. pilka, skapi, gacri, bartu)
canci			vanish		x1 vanishes/disappears from location x2; x1 ceases to be observed at x2 using senses/sensor x3	[also leaves, goes away (one sense)]; (cf. cliva, ganse, zgana, lebna, vimcu)
cando		cad	idle		x1 is idle/at rest/inactive	["in motion", not implying a change in location, is negation of this]; (cf. surla)
cange		cag	farm	'grange, agrarian'	x1 is a farm/ranch at x2, farmed by x3, raising/producing x4; (adjective:) x1 is agrarian	[also grange; farming is any organized agrarian activity, not limited to plant crops]; (cf. purdi, nurma, ferti, foldi, xarju)
canja		caj	exchange		x1 exchanges/trades/barters commodity x2 for x3 with x4; x1, x4 is a trader/merchant/businessman	[also (adjective:) x1, x2, x4 is/are commercial (better expressed as ka canja, kamcanja)]; x2/x3 may be a specific object, a commodity (mass), an event (possibly service), or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= posycanja for unambiguous semantics); (cf. dunda, friti, vecnu, zarci, jdini, pleji, jdima, jerna, kargu; see note at jdima on cost/price/value distinction, banxa, cirko, dunda, janta, kargu, prali, sfasa, zivle)
canko		ca'o	window		x1 is a window/portal/opening [portal] in wall/building/structure x2	(cf. vorme, bitmu, ganlo, murta, pagre, kevna, jvinu, kalri, kuspe)
canlu		cal ca'u	space	'volume'	x1 is space/volume/region/room [at-least-3-dimensional area] occupied by x2	[also occupy (= selca'u)] (cf. kensa, bliku, kumfa, kevna, kunti, tubnu, dekpu)
canpa		cna	shovel		x1 is a shovel/spade [bladed digging implement] for digging x2	(cf. kakpa, guska, tutci)
canre		can	sand		x1 is a quantity of/contains/is made of sand/grit from source x2 of composition including x3	[also abrasive (= gukcanre)]; (cf. bidju, rokci, zalvi, boxna)
canti			gut	'entrails'	x1 is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of x2	[metaphor: process hub]; (cf. betfu)
capu'o	ZAhO*		is going to		time tense: is going to, is now just about to, is now anticipating; (tense/modal)
carce			cart		x1 is a cart/carriage/wagon [wheeled vehicle] for carrying x2, propelled by x3	(cf. karce, xislu, marce, matra)
carmi		cam cai	intense		x1 is intense/bright/saturated/brilliant in property (ka) x2 as received/measured by observer x3	[also lustrous, gleaming, sparkling, shining (all probably better metaphorically combined with gusni: gusycai or camgu'i); in colors, refers principally to increased saturation (with opposite kandi)]; (cf. denmi, gusni, kandi, ruble, skari, tilju, tsali, mutce, blabi, blanu, bunre, cicna, crino, grusi, narju, nukni, pelxu, xekri, xunre, zirpu)
carna		car	turn		x1 turns/rotates/revolves around axis x2 in direction x3	[also revolve (= jincarna)]; (cf. gunro, jendu)
cartu		cat	chart		x1 is a chart/diagram/map of/about x2 showing formation/data-points x3	(cf. platu)
carvi		cav	rain		x1 rains/showers/[precipitates] to x2 from x3; x1 is precipitation [not limited to 'rain']	(cf. bratu, dilnu, santa, snime, tcima, bisli, bumru)
casnu		snu	discuss		x1(s) (mass normally, but 1 individual/jo'u possible) discuss(es)/talk(s) about topic/subject x2	[also chat, converse]; (cf. bacru, cusku, darlu, tavla)
catke		ca'e	shove		x1 [agent] shoves/pushes x2 at locus x3	[move by pushing/shoving (= ca'ermuvgau)]; (cf. danre for non-agentive force, lacpu)
catlu		cta	look		x1 looks at/examines/views/inspects/regards/watches/gazes at x2	[also look through (= grecta, ravycta, bacycta); note that English "look" often means a more generic "observe"]; (cf. jvinu, minra, simlu, viska, lanli, zgana, setca, viska)
catni		ca'i	authority		x1 has authority/is an official in/on/over matter/sphere/persons x2 derived on basis x3	(cf. turni, tutra, krati, cmavo list ca'i, jaspu, pulji)
catra			kill	'slaughter'	x1 (agent) kills/slaughters/murders x2 by action/method x3	(cf. morsi, xarci)
cau	BAI		lacked by		claxu modal, 1st place                            lacked by ...
caxno		cax	shallow		x1 is shallow in extent in direction/property x2 away from reference point x3 by standard x4	(cf. condi, tordu, jarki, cinla, cmalu, jarki, jmifa)
ce	JOI	cec	in a set with		non-logical connective: set link, unordered; "and also", but forming a set	(cf. cmima, cmavo list ce'o)
ce'a	LAU		font shift		2-word letteral/shift: the word following indicates a new font (e.g. italics, manuscript)
ce'e	CEhE		afterthought termset		links terms into an afterthought termset
ce'i	PA3	cez	percent		digit/number: % percentage symbol, hundredths	(cf. saclu, centi, parbi, frinu)
ce'o	JOI	ce'o	in a sequence with		non-logical connective: ordered sequence link; "and then", forming a sequence	(cf. porsi, cmavo list ce)
ce'u	KOhA8		lambda		pseudo-quantifier binding a variable within an abstraction that represents an open place
cecla		cel ce'a	launcher		x1 launches/fires/shoots projectile/missile x2, propelled by x3 [propellant/propulsion]	[also: x1 is a gun/launcher/cannon; x1 hurls/throws/casts (more general than renro in that propulsion need not be internal to x1)]; (cf. renro, danti, jakne, jbama, spoja)
cecmu		cem ce'u	community		x1 is a community/colony of organisms x2	(cf. bende, kulnu, natmi, tcadu, jecta, girzu)
cedra			era		x1 is an era/epoch/age characterized by x2 (event/property/interval/idea)	(x2 interval should be the defining boundaries; if merely a characterizing period, the nature of the interval should be expressed in an abstract bridi, or the interval should be marked with tu'a; x2 may also be characteristic object(s) or practices of the era, if marked with tu'a); (cf. ranji, temci, citsi)
cei	CEI		pro-bridi assign		selbri variable assignment; assigns broda series pro-bridi to a selbri
cenba		cne	vary		x1 varies/changes in property/quantity x2 (ka/ni) in amount/degree x3 under conditions x4	[non-resultative, not-necessarily causal change]; (cf. cenba which is non-resultative, galfi which is resultative and causal, stika which is non-resultative and causal; stodi, zasni, binxo)
censa		ces	holy	'sacred'	x1 is holy/sacred to person/people/culture/religion/cult/group x2	(cf. cevni, krici, latna, pruxi, lijda, sinma)
centi		cen	.01	metric 'centi'	x1 is a hundredth [1/100; 1x10**-2] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
cerda		ced	heir		x1 is an heir to/is to inherit x2 (object/quality) from x3 according to rule x4	[pedantically, inheriting an object should be a sumti-raising (tu'a if non-abstract in x2) of inheriting loka ponse the object - the ownership of the object (= posycerda, posyselcerda for unambiguous semantics)]; (cf. jgina)
cerni		cer	morning		x1 is a morning [dawn until after typical start-of-work for locale] of day x2 at location x3	[this morning (= cabdeicerni); tomorrow morning (= bavlamcerni); yesterday morning (= prulamcerni, prulamdeicerni)](cf. vanci, murse, tcika)
certu		cre	expert		x1 is an expert/pro/has prowess in/is skilled at x2 (event/activity) by standard x3	[also competent, skilled]; (cf. djuno, stati, kakne)
cevni		cev cei	god	'divinity'	x1 is a/the god/deity of people(s)/religion x2 with dominion over x3 [sphere]; x1 is divine	[also divinity; x2 religion refers to the religious community as a mass]; (cf. censa, krici, lijda, malsi)
cfari		cfa	initiate		x1 [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb)	(cf. sisti, krasi, fanmo)
cfika		fik fi'a	fiction		x1 is a work of fiction about plot/theme/subject x2/under convention x2 by author x3	[also story, lie, untrue]; (cf. cukta, lisri, prosa, fatci, jitfa, jetnu, xanri)
